Tweet,Sentiment
"Question your RS MPs over low productivity, PM Modi urges youth
 https://t.co/LBGD3Fihon

via NaMo App https://t.co/dAfm8Vb7ap",neutral
I believe #PrimeMinisterImranKhans speech was statesmanlike and to the point. The ball is very much in Modis cour https://t.co/FYI1A6HGFs,neutral
"Highlights: India Will Stand As One, India Will Work As One, Says PM Modi - NDTV https://t.co/0VgzxrFvZd",neutral
"@theujjwalmalik @ANI Please do your research, now the guy from bjp is trying to downplay his statements. Its not fa https://t.co/n5TgzflkQH",neutral
"PM Modi to interact with 1 crore BJP workers through 'world's largest video conference'
https://t.co/tzQ0fY1xmt via https://t.co/ncUUGSMXj1",neutral
"@bneelanjan @sardesairajdeep @sagarikaghose We are under proxy war since 1989,alas we are realising only now under Modi",negative
Precise words exposing #Rundian #Modi https://t.co/lD3bt9nXJO,neutral
"If you call this betrayal, then you can also eat Modi's shit, considering it Chocolate Pastry!! https://t.co/ihKQnETomV",neutral
Shame on you Modi. you are trying to change in vote bank of the sergical strike .,negative
@narendramodi  https://t.co/Yl7rNxnLj2 thank u modi ji for this beautiful gift ....@TajinderBagga  send my to our d https://t.co/PGuOQXQzEJ,positive
"#Mayawati flays #Modi over #BJP address

https://t.co/cASADUjpZP",neutral
"Happy that India gave an early &amp; befitting reply.
The hyenas in home are already howling.
Dear Media, Remember - 
i https://t.co/zkeboFzUHO",neutral
"#Modi4NewIndia
Modi govt's vision of a corruption-free India is ensuring that all those who looted the country are https://t.co/rQ8ybd5lvU",neutral
"One heard nothing but'what did Modi do to solve Kashmir' for last 5years. Now,at d very first move intellectuals ar https://t.co/Ae1lKkThwu",neutral
@INCIndia Did your leader @RahulGandhi even listen to what the PM spoke? He gave a message of unity for all. He ask https://t.co/Wg4VZmTbPk,negative
@amitmehra @sanjayuvacha modi sarkar is only to take from india and give to gujarat &amp; gujaratis . so it doesnt matt https://t.co/dHtuZixchm,neutral
"Bhakts back to abusing, trolling own people after their master Modi failed them https://t.co/EvkbxYGQXk",neutral
"@DrKumarVishwas @AKajrival is this your so called supporter?
Please identify these half breed hypocrite, agents of https://t.co/OeFctpICUN",neutral
"@ArvindKejriwal Don't worry PM Modi will take care,Pak don't have guts to sustain him..few politicians are more dan https://t.co/eFx03EP6mi",neutral
"#Modi4NewIndia
Today's India is safe &amp; secure. With stringent anti-terror policies of Modi govt terror is on a back https://t.co/7rP7f9l7SL",neutral
"Remember: 

- Indian media wants TRP
- Pakistani media wants TRP
- Modi govt wants votes 
- Imran govt wants votes https://t.co/XWS0s648El",neutral
@JhaSanjay You are being kind to Modi ! His conduct is unacceptable and a disgrace !,negative
"@INCIndia PM took ride on the Delhi Metro to travel to an event at the ISKCON temple, sticking to his usual packed https://t.co/tdsnaqHF0c",neutral
Its time for india to response with peace forget about what happened lets move forward #modi if u still care for th https://t.co/qvu9yxrTVX,positive
"@HardikPatel_ When 40 Jawans got Martyred

Liberals: Spineless Govt, Where's 56 inch?

When India retaliates agains https://t.co/ZDky25bffO",neutral
@JhaSanjay And still you are not even capable enough to apply for a job under Modi -let your boss also know that @RahulGandhi,negative
"For all those newly emerged peace doves, it's so obvious that only your hatred towards Modi and BJP is refraining y https://t.co/DUzgQR1fSg",negative
@ArvindKejriwal @pankhuripathak Keep up the pressure and Modi will do something which will ensure BJP is there for next 50 years.,neutral
"@BDUTT You don't worry,sweat about PM's daily itinerary. We all know Modi Sir is committed to the nation. Are you ?????",neutral
@Arpit2311 @iamnarendranath Send modi Pakistan and get back commondor,neutral
Narendra modi and bjp new slogan.......#Mera jhooth sbse mazboot,neutral
"@Sanju_Verma_ type people are new Generation #SMPresstitutes
Prior to 2014 who ever ranted against Modi was awarded https://t.co/zwudMLgsQG",neutral
